lad_code,n,mean,rooms
E07000189,130,468,Room
E06000047,10,457,Studio
E06000005,30,362,Studio
E06000001,10,404,Studio
E08000037,10,506,Studio
E08000021,10,502,Studio
E08000024,10,449,Studio
E06000008,20,357,Studio
E06000009,30,322,Studio
E06000049,40,531,Studio
E06000050,20,448,Studio
E06000006,10,437,Studio
E06000007,20,461,Studio
E07000026,10,362,Studio
E07000028,10,359,Studio
E07000029,10,374,Studio
E07000030,10,425,Studio
E07000031,10,465,Studio
E08000002,10,495,Studio
E08000003,80,647,Studio
E08000005,10,371,Studio
E08000006,60,693,Studio
E08000007,10,564,Studio
E08000008,10,401,Studio
E08000009,10,570,Studio
E08000010,20,427,Studio
E07000119,10,395,Studio
E07000120,10,315,Studio
E07000121,10,455,Studio
E07000123,20,382,Studio
E07000126,10,383,Studio
E07000128,20,371,Studio
E08000012,120,507,Studio
E08000014,30,454,Studio
E08000013,10,439,Studio
E06000011,10,324,Studio
E06000010,20,296,Studio
E06000014,40,536,Studio
E07000165,20,493,Studio
E07000168,10,367,Studio
E08000016,30,373,Studio
E08000017,60,489,Studio
E08000018,20,426,Studio
E08000019,200,515,Studio
E08000032,60,419,Studio
E08000033,10,328,Studio
E08000034,10,383,Studio
E08000035,220,555,Studio
E08000036,20,450,Studio
E06000015,70,505,Studio
E06000016,140,505,Studio
E06000018,90,501,Studio
E07000036,10,437,Studio
E07000130,20,519,Studio
E07000136,20,400,Studio
E07000137,10,391,Studio
E07000138,10,423,Studio
E07000139,10,337,Studio
E07000140,10,429,Studio
E07000141,20,399,Studio
E07000150,10,615,Studio
E07000151,10,474,Studio
E07000153,10,524,Studio
E07000154,40,611,Studio
E07000170,10,461,Studio
E07000171,10,333,Studio
E07000174,10,326,Studio
E07000175,10,381,Studio
E07000176,10,429,Studio
E06000019,20,409,Studio
E06000051,30,379,Studio
E06000020,10,387,Studio
E07000193,10,453,Studio
E07000194,20,469,Studio
E07000197,10,565,Studio
E07000199,10,670,Studio
E07000218,10,516,Studio
E07000219,10,450,Studio
E07000220,10,537,Studio
E07000221,10,494,Studio
E07000222,30,567,Studio
E08000025,130,593,Studio
E08000026,50,505,Studio
E08000027,40,418,Studio
E08000028,20,488,Studio
E08000030,20,392,Studio
E08000031,50,461,Studio
E07000237,10,470,Studio
E07000239,10,431,Studio
E06000055,50,569,Studio
E06000056,20,599,Studio
E06000032,160,595,Studio
E06000031,70,526,Studio
E06000033,80,572,Studio
E06000034,70,656,Studio
E07000008,70,885,Studio
E07000011,30,577,Studio
E07000012,10,752,Studio
E07000066,20,669,Studio
E07000068,20,761,Studio
E07000069,10,915,Studio
E07000070,40,660,Studio
E07000071,30,597,Studio
E07000073,10,768,Studio
E07000075,10,596,Studio
E07000077,10,620,Studio
E07000095,10,814,Studio
E07000096,40,776,Studio
E07000242,30,722,Studio
E07000098,10,781,Studio
E07000099,30,647,Studio
E07000240,30,751,Studio
E07000243,20,714,Studio
E07000102,10,886,Studio
E07000103,20,836,Studio
E07000241,60,700,Studio
E07000145,10,392,Studio
E07000146,20,448,Studio
E07000147,10,503,Studio
E07000148,40,599,Studio
E07000200,10,423,Studio
E07000244,80,389,Studio
E07000202,10,485,Studio
E07000245,10,650,Studio
E09000007,150,1026,Studio
E09000001,20,1696,Studio
E09000012,50,1208,Studio
E09000013,70,1132,Studio
E09000014,80,938,Studio
E09000019,40,1084,Studio
E09000020,380,1556,Studio
E09000022,50,931,Studio
E09000023,70,991,Studio
E09000025,30,1081,Studio
E09000028,60,1156,Studio
E09000030,70,1440,Studio
E09000032,30,1112,Studio
E09000033,110,1423,Studio
E09000002,10,783,Studio
E09000003,110,962,Studio
E09000004,20,880,Studio
E09000005,50,884,Studio
E09000006,40,847,Studio
E09000008,80,856,Studio
E09000009,70,993,Studio
E09000010,30,856,Studio
E09000011,40,962,Studio
E09000015,30,816,Studio
E09000016,10,799,Studio
E09000017,70,879,Studio
E09000018,70,883,Studio
E09000021,10,870,Studio
E09000024,10,1000,Studio
E09000026,30,843,Studio
E09000027,40,1009,Studio
E09000029,60,791,Studio
E09000031,30,888,Studio
